gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1519710617	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	d92bb6a4-bf71-4183-b18b-119a45ccfac5	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Aphantopus	Aphantopus hyperantus		SPECIES	Aphantopus hyperantus (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	51.2954	-2.86908	1000.0						2010-08-02T00:00:00Z	2	8	2010	1896841	1896841	HUMAN_OBSERVATION	Biological Records Centre	1		3677676			CC_BY_4_0					2018-12-09T21:26:05.479Z		
1519710618	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	70ca3de3-89f9-4425-9351-f061532669ed	Animalia	Arthropoda	Insecta	Lepidoptera	Hesperiidae	Ochlodes	Ochlodes sylvanus		SPECIES	Ochlodes sylvanus (Esper, 1777)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	51.26041	-2.72511	1000.0						2011-06-03T00:00:00Z	3	6	2011	1946844	1946844	HUMAN_OBSERVATION	Biological Records Centre	1		4020390			CC_BY_4_0					2018-12-09T21:26:05.478Z		
1519710619	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	38513b16-f064-441f-8f15-70b6204e907d	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Polyommatus	Polyommatus icarus		SPECIES	Polyommatus icarus (Rottemburg, 1775)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	51.3774	-1.29019	1000.0						2007-08-01T00:00:00Z	1	8	2007	5140214	5140214	HUMAN_OBSERVATION	Biological Records Centre	1		2868035			CC_BY_4_0					2018-12-09T21:26:05.560Z		
1519710620	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	e3f731a9-7b00-4fa2-985e-0c284836a06d	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris brassicae		SPECIES	Pieris brassicae (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	51.3449	-0.65894	1000.0						2004-08-14T00:00:00Z	14	8	2004	1920506	1920506	HUMAN_OBSERVATION	Biological Records Centre	1		539514			CC_BY_4_0					2018-12-09T21:26:05.457Z		
1519710621	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	8d58646e-7f66-4a7c-9efe-115d6f5e56ee	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Aphantopus	Aphantopus hyperantus		SPECIES	Aphantopus hyperantus (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	51.33573	-0.01319	1000.0						1997-06-24T00:00:00Z	24	6	1997	1896841	1896841	HUMAN_OBSERVATION	Biological Records Centre	1		589529			CC_BY_4_0					2018-12-09T21:26:05.519Z		
1519710622	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	96e2c756-b4f9-42fa-8887-cff38d5d033f	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Gonepteryx	Gonepteryx rhamni		SPECIES	Gonepteryx rhamni (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	51.30121	-0.10075	1000.0						2002-03-28T00:00:00Z	28	3	2002	1920712	1920712	HUMAN_OBSERVATION	Biological Records Centre	1		552826			CC_BY_4_0					2018-12-09T21:26:05.480Z		
1519710623	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	6717f797-3777-4691-b7bc-a867adc52dc4	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Maniola	Maniola jurtina		SPECIES	Maniola jurtina (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	50.76687	-2.53311	1000.0						2013-07-05T00:00:00Z	5	7	2013	5135513	5135513	HUMAN_OBSERVATION	Biological Records Centre	1		4815235			CC_BY_4_0					2018-12-09T21:26:05.553Z		
1519710624	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	b9e538b8-326a-48b0-839a-3c41ebe1fd36	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Celastrina	Celastrina argiolus		SPECIES	Celastrina argiolus (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	51.07514	0.8465	1000.0						1990-05-16T00:00:00Z	16	5	1990	1925918	1925918	HUMAN_OBSERVATION	Biological Records Centre	1		863176			CC_BY_4_0					2018-12-09T21:26:05.478Z		
1519710625	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	9d9163ae-6993-4379-a37c-0857b67790bd	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris rapae		SPECIES	Pieris rapae (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	52.13475	-1.89184	1000.0						1997-08-30T00:00:00Z	30	8	1997	1920496	1920496	HUMAN_OBSERVATION	Biological Records Centre	1		60228			CC_BY_4_0					2018-12-09T21:26:05.487Z		
1519710626	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	410443da-955a-4b14-920f-cbdf3b07fe0d	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Vanessa	Vanessa atalanta		SPECIES	Vanessa atalanta (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	52.21497	1.59238	1000.0						2011-07-28T00:00:00Z	28	7	2011	1898286	1898286	HUMAN_OBSERVATION	Biological Records Centre	1		4456730			CC_BY_4_0					2018-12-09T21:26:05.546Z		
